ID,Instruction,Result,Expected ExitCode,Actual ExitCode,Cycles
1,jr,PASS,0,0,6
2,addi,PASS,6,6,7
3,addi,PASS,246,246,6291451
4,addi,PASS,246,246,196606
5,addiu,PASS,255,255,7
6,andi,PASS,6,6,8
7,beq,PASS,1,1,9
8,beq,PASS,1,1,10
9,beq,PASS,1,1,9
10,beq,PASS,1,1,8200
11,beq,PASS,1,1,11
12,beq,PASS,1,1,11
13,beq,PASS,1,1,8
14,bne,PASS,1,1,10
15,bne,PASS,1,1,11
16,bne,PASS,1,1,10
17,bne,PASS,1,1,8201
18,bne,PASS,1,1,12
19,bne,PASS,1,1,9
20,bne,PASS,1,1,9
21,bgez,PASS,1,1,10
22,bgez,PASS,1,1,11
23,bgez,PASS,1,1,10
24,bgezal,PASS,1,1,9
25,bgezal,PASS,8,8,9
26,bgezal,PASS,12,12,11
27,bgtz,PASS,1,1,10
28,bgtz,PASS,1,1,9
29,blez,PASS,1,1,9
30,blez,PASS,1,1,10
31,bltz,PASS,1,1,11
32,bltz,PASS,1,1,9
33,bltz,PASS,1,1,12
34,bltzal,PASS,1,1,11
35,bltzal,PASS,8,8,8
36,lbu,PASS,1,1,10
37,lbu,PASS,1,1,12
38,lbu,PASS,1,1,12
39,lbu,PASS,245,245,3
40,lb,PASS,1,1,10
41,lb,PASS,1,1,12
42,lb,PASS,1,1,12
43,lb,PASS,245,245,3
44,lb,PASS,255,255,12
45,lhu,PASS,1,1,10
46,lhu,PASS,1,1,12
47,lhu,PASS,1,1,12
48,lhu,PASS,245,245,3
49,lh,PASS,1,1,10
50,lh,PASS,1,1,12
51,lh,PASS,1,1,12
52,lh,PASS,245,245,3
53,lh,PASS,255,255,12
54,sltiu,PASS,1,1,8
55,sltiu,PASS,0,0,8
56,sltiu,PASS,1,1,10
57,slti,PASS,1,1,8
58,slti,PASS,0,0,8
59,slti,PASS,0,0,11
60,lwr,PASS,9,9,12
62,sw,PASS,0,0,11
63,add,PASS,5,5,9
64,add,PASS,246,246,1
65,addu,PASS,0,0,10
66,and,PASS,255,255,11
67,multu,PASS,254,254,14
68,or,PASS,255,255,10
69,slt,PASS,1,1,9
70,sltu,PASS,0,0,11
71,sll,PASS,128,128,8
72,srl,PASS,1,1,9
73,sub,PASS,0,0,11
74,sub,PASS,246,246,4
75,subu,PASS,0,0,13
76,div,PASS,1,1,14
77,sra,PASS,255,255,10
78,mult,PASS,255,255,12
79,multu,PASS,1,1,14
80,Hi,PASS,1,1,9
81,sllv,PASS,2,2,9
82,srav,PASS,255,255,11
83,srlv,PASS,1,1,11
84,j,PASS,246,246,196612
85,stack,PASS,128,128,249
86,lwsw,PASS,255,255,13
87,char,PASS,72,72,18
88,stress,PASS,0,0,9
89,stress,PASS,1,1,30
90,calc,PASS,203,203,83
91,sort,PASS,5,5,2428
92,stress,PASS,5,5,26
93,stress,PASS,7,7,30
94,stress,PASS,10,10,20
95,stress,PASS,2,2,27
96,sort,PASS,98,98,2255
97,charOp,PASS,5,5,1581
98,jalr,PASS,5,5,14
99,quiksrt,PASS,211,211,1596
100,fibonci,PASS,21,21,1941
101,multu,PASS,1,1,14
102,lwl,PASS,33,33,14
103,stress,PASS,3,3,30
104,add,PASS,8,8,9
105,add,PASS,254,254,13
106,add,PASS,246,246,2
107,addu,PASS,254,254,13
108,addu,PASS,8,8,9
109,and,PASS,0,0,11
110,and,PASS,1,1,11
111,div,PASS,0,0,18
112,div,PASS,0,0,15
113,div,PASS,255,255,15
114,div,PASS,1,1,17
115,div,PASS,0,0,18
116,div,PASS,1,1,15
117,div,PASS,0,0,15
118,div,PASS,0,0,15
119,divu,PASS,255,255,12
120,divu,PASS,1,1,12
121,divu,PASS,1,1,12
122,divu,PASS,1,1,12
124,jr,PASS,245,245,-1
125,mult,PASS,253,253,12
126,mult,PASS,1,1,15
127,mult,PASS,255,255,12
128,mult,PASS,255,255,10
129,mult,PASS,1,1,10
130,mult,PASS,255,255,14
131,mult,PASS,1,1,14
132,or,PASS,255,255,9
133,or,PASS,255,255,9
134,or,PASS,255,255,9
135,or,PASS,1,1,9
136,sll,PASS,1,1,9
137,sll,PASS,4,4,8
138,sll,PASS,255,255,9
139,sllv,PASS,0,0,10
140,sllv,PASS,8,8,9
141,srlv,PASS,1,1,10
142,slt,PASS,0,0,10
143,slt,PASS,1,1,10
144,slt,PASS,0,0,9
145,sltu,PASS,0,0,10
146,sltu,PASS,0,0,10
147,sltu,PASS,1,1,9
148,sltu,PASS,0,0,10
149,sra,PASS,255,255,8
150,sra,PASS,1,1,10
151,srav,PASS,255,255,10
152,srl,PASS,1,1,8
153,srl,PASS,1,1,8
154,srl,PASS,2,2,8
155,sub,PASS,255,255,9
156,sub,PASS,1,1,9
157,sub,PASS,246,246,3
158,sub,PASS,1,1,11
159,subu,PASS,2,2,13
160,subu,PASS,1,1,11
161,lwl,PASS,1,1,12
162,lwl,PASS,1,1,12
163,jalr,PASS,1,1,14
164,sh,PASS,1,1,11
165,sh,PASS,1,1,12
166,sh,PASS,245,245,0
167,lwr,PASS,1,1,12
168,lwr,PASS,1,1,11
